slug,name,category,tvl,tvl_change_1d,tvl_change_7d,tvl_change_30d,tvl_change_90d,volume_24h,volume_7d,volume_30d,volume_change_7d,volume_change_30d,aggregator_volume_24h,aggregator_volume_30d,fees_24h,fees_30d,fees_change_30d,revenue_24h,revenue_30d,mcap,capital_turnover,momentum
stkesol-by-sol-strategies,STKESOL by SOL Strategies,Liquid Staking,63254873.30463949,0.4509878496253634,20.432892127182825,7.213849762238341,43.34689044946563,,,,,,,,11292.0,245904.72000000003,17.0,593.0,18428.72,,,61.9
portal,Portal,Bridge,58702202.6805895,0.6079460673086317,25.781174941865714,25.233880966738575,20.969630631543296,,,,,,,,367.0,9045.0,38.26,0.0,0.0,80118861.46334775,,72.7
meteora-vaults,Meteora vaults,Yield Aggregator,56386084.36481844,0.647448408908474,18.190400011661964,16.784265757562597,40.79032377955913,,,,,,,,,,,,,,,64.1
layerzero-v2,LayerZero V2,Bridge,52632196.12063792,2.9454964713002028,10.574868931999887,,,,,,,,,,,,,,,,,
meteora-damm-v1,Meteora DAMM V1,Dexs,51514737.19503916,1.3151139487612085,19.565253094766817,17.865248228248507,41.75787988237517,3479211.0,10680693.0,48344980.0,44.44,39.65,,,9901.0,165054.0,18.44,1959.0,32622.0,,0.9384689242800911,70.9
bitget-sol,Bitget SOL,Liquid Staking,50731163.24530277,6.149448262107342,48.246259365281986,,,,,,,,,,7951.0,106378.0,91.76,62.0,247.0,,,89.4
jupusd,JupUSD,Basis Trading,46605493.046908304,-0.12461724202749735,-0.39404331041558294,,,,,,,,,,,,,,,,,
marginfi-lending,marginfi Lending,Lending,42109701.29541551,2.450666325599869,23.729894663956856,,,,,,,,,,4133.0,72403.0,,101.0,2109.0,,,
hylo-protocol,Hylo Protocol,Dual-Token Stablecoin,40086499.05758571,1.6538648459839607,40.03104704781572,,,,,,,,,,24870.0,345706.0,130.11,12082.0,205905.0,,,88.9
lulo,Lulo,Yield Aggregator,33035465.80913278,-0.7428701293154631,-1.4296284972054139,,,,,,,,,,3924.0,122221.0,-23.16,0.0,0.0,,,40.2
adrastea-validator,Adrastea Validator,Staking Pool,30767588.304088756,0.43663136396246216,21.479840914210186,,,,,,,,,,,,,,,,,
plume-vaults,Plume Vaults,RWA,28202472.299224224,0.3566011303393566,28.898296978508284,,,,,,,,,,,,,,,,,
gmx-solana,GMX Solana,Derivatives,27998114.87121802,-0.6766942416316368,-0.34149345241951323,,,,,,,,,,66419.0,3303632.0,9.09,16605.0,825908.0,,,53.6
meteora-damm-v2,Meteora DAMM V2,Dexs,25841333.479033716,3.9454810167801213,19.442474976022183,,,16633389.0,85357066.0,317441068.0,-29.84,110.25,,,178450.0,3812147.0,75.51,34421.0,732178.0,,12.284237121801581,68.2
pacifica-perps,Pacifica Perps,Derivatives,25109342.32998587,1.2137062168711168,1.533479903696005,,,,,,,,,,141307.0,3560009.0,274.3,140219.0,3519195.0,,,75.6
hylo-lsts,Hylo LSTs,Liquid Staking,23824364.249456074,1.2843755539344954,21.425932715513056,,,,,,,,,,4637.0,90760.0,24.82,915.0,9509.039999999999,,,68.4
bisonfi,BisonFi,Dexs,21432676.544441964,-0.4004550388149255,11.097597812207809,,,368165356.0,2977045797.0,9429213459.0,29.22,60.24,,,,,,,,,439.9456801136316,72.3
raiku-staked-sol,Raiku Staked SOL,Liquid Staking,21160579.075956766,0.438028151099104,,,,,,,,,,,,,,,,,,
realms,Realms,Governance Incentives,21030496.727024887,-0.362929238753523,18.308189117904178,,,,,,,,,,,,,,,0.0,,
manifest-trade,Manifest Trade,Dexs,21004743.562623553,0.9251643835880259,9.328074006661339,18.07841762078718,45.07156076393733,119520340.0,894249050.0,4066205269.0,2.54,44.54,,,,,,,,,193.5850945705199,62.8
neutral-trade,Neutral Trade,Onchain Capital Allocator,19978900.98475056,0.5103619037583655,25.170571882918424,,,,,,,,,,357.0,8899.0,,357.0,9113.0,,,
jito-restaking,Jito Restaking,Restaking,19946320.373316646,0.23268373717586144,19.937359965500633,,,,,,,,,,,,,,,,,
hubra-staked-sol,Hubra Staked SOL,Liquid Staking,18583148.88372637,-0.27391762626091065,25.76422054066383,,,,,,,,,,192.0,3927.8599999999997,27.68,4.79,110.77000000000002,,,70.9
aster-bridge,Aster Bridge,Bridge,17671504.04794909,-0.3379752904184983,-3.3535833025339628,,,,,,,,,,,,,,,,,
serum,Serum,Dexs,17109669.68676462,0.07660433986289661,6.197751026952702,,,,,,,,,,,,,,,2594302.2598953024,,
bitwise-uscc,Bitwise USCC,Basis Trading,16641706.912050955,1.2745563441618515,3.12032723353974,,,,,,,,,,2687.0,64389.0,16.8,171.0,5582.0,,,58.1
jupiter-lend-dex,Jupiter Lend DEX,Dexs,16220721.309584565,44.65821764795413,45.168969879598365,,,15613645.0,162168010.0,612717840.0,24.36,948.52,,,31.0,1893.0,116.41,3.85,235.23,,37.77377271366809,86.2
byreal,Byreal,Dexs,15067377.826176496,0.010495530900243466,8.313633574816691,,,23816011.0,144497471.0,647663023.0,3.1,156.2,,,10165.0,333123.0,57.56,2033.0,66626.0,,42.984454924520286,72.2
kyros,Kyros,Liquid Restaking,14223052.217550058,0.16023595151838776,20.393236718038764,,,,,,,,,,2819.0,53501.759999999995,-25.86,23.0,1739.0900000000001,322890.64740633377,,48.0
futarchy-amm,Futarchy AMM,Dexs,14125549.865318703,2.5649614141347143,6.497766803559088,,,1367282.0,10188470.0,31195239.0,135.51,-18.08,,,8483.0,163589.0,-18.67,8483.0,163589.0,,2.2084265248031936,58.3
exponent-risk-tranching,Exponent Risk Tranching,Yield,13921307.91213478,7.1402742810374775,15.952827546198108,,,,,,,,,,,,,,,,,
streamflow,Streamflow,Payments,12506879.133696273,14.382053682822388,57.506294999473226,,,193995.0,2140545.0,35325446.0,-89.67,305.93,,,2645.0,173455.0,63.66,2645.0,173455.0,1274584.922866396,2.824481281251492,67.1
perena-vaults,Perena Vaults,Onchain Capital Allocator,12476167.844542,0.15215606634203027,5.987726052611777,,,,,,,,,,,,,,,,,
solayer-restaking,Solayer Restaking,Restaking,12217568.823816424,-0.304517567283483,19.776475222551852,,,,,,,,,,1737.0,35344.73,11.49,110.0,1731.6499999999999,,,62.7
tessera-v,Tessera V,Dexs,12035716.668140523,-2.9413170444354932,-3.9054054097822757,,,100418486.0,1000217487.0,3405516325.0,-13.55,150.4,,,,,,,,,282.950855266863,58.3
bonk-staked-sol,Bonk Staked SOL,Liquid Staking,11600795.637943206,-0.770912327259694,19.25524487792687,,,,,,,,,,2137.0,43085.04,-9.35,54.0,1198.04,,,53.9
marginfi-lst,marginfi LST,Liquid Staking,11294628.656452427,-0.3775343556825135,20.339240349411043,,,,,,,,,,2037.0,31443.54,-0.03,1.85,138.11999999999998,,,58.2
exponent-strategy-vaults,Exponent Strategy Vaults,Onchain Capital Allocator,9876307.156551138,0.5240570423015356,6.8657375611671085,,,,,,,,,,,,,,,,,
hawkfi,HawkFi,Liquidity Manager,8059794.380289676,,,,,,,,,,,,20947.0,487742.0,169.09,1677.0,39022.0,22906.699273744205,,
pancakeswap-amm-v3,PancakeSwap AMM V3,Dexs,7659335.227447023,0.9990067373931737,8.309634578834363,,,27155314.0,160858647.0,667390310.0,31.44,18.17,,,4745.0,112308.0,23.17,790.0,17008.0,,87.13423426205772,66.3
bulk,BULK,Derivatives,7657595.92475533,-1.6462325276631589,-10.86827883064295,,,,,,,,,,,,,,,,,
orderly-bridge,Orderly Bridge,Bridge,7348625.7037708815,-0.013867239298619438,12.379119094984773,,,,,,,,,,,,,,,,,
